,name,genre,parent_platform,platform,publisher,developer,release_date,rating,global_sales,NA_sales,EU_sales,JP_sales,other_sales,generation,players_category,players,online,critic_positive,critic_neutral,critic_negative,metascore,num_critic_reviews,user_positive,user_neutral,user_negative,user_score,num_users_reviews
111,Need for Speed Underground,Racing,PlayStation,PS2,Electronic Arts,EA Black Box,2003-11-17,E,7.2,3.27,2.83,0.08,1.02,6th Gen,2 to 4,1-4 ,Not Specified,30,3,0,85,33,79,9,6,8.7,94
112,The Binding of Isaac,Action,PC,PC,Edmund McMillen,Edmund McMillen,2011-09-28,,0.03,0.0,0.03,0.0,0.0,PC,Not Specified,No Online Multiplayer,Not Online,28,2,0,84,30,195,34,24,8.4,253
113,Crash Bandicoot 3: Warped,Platform,PlayStation,PS,Sony Computer Entertainment,Naughty Dog,1998-10-31,E,7.13,3.68,1.75,1.42,0.28,5th Gen,1,1 Player,Not Online,12,0,0,91,12,107,4,2,9.0,113
114,Pokemon Emerald Version,Role-Playing,Nintendo,GBA,Nintendo,Game Freak,2005-04-30,E,7.06,,,,,6th Gen,2 to 4,1-4 ,Not Specified,19,9,0,76,28,62,5,1,8.4,68
115,Need for Speed Underground 2,Racing,PlayStation,PS2,Electronic Arts,EA Black Box,2004-11-15,E,6.9,2.71,3.02,0.08,1.09,6th Gen,5 to 12,6  Online,Online,29,10,0,82,39,50,3,7,8.6,60
116,Just Dance 4,Music,Nintendo,WII,Ubisoft,Ubisoft,2012-10-09,E10,6.89,4.05,2.21,,0.62,7th Gen,,,,5,5,0,74,10,7,1,0,7.5,8
117,Mario Kart: Double Dash!!,Racing,Nintendo,GC,Nintendo,Nintendo EAD,2003-11-17,E,6.95,4.12,1.77,0.87,0.19,6th Gen,5 to 12,1-8 ,Not Specified,55,3,0,87,58,104,13,9,8.6,126
118,Uncharted 3: Drake's Deception,Action,PlayStation,PS3,Sony Computer Entertainment,Naughty Dog,2011-11-01,T,6.83,2.77,2.8,0.19,1.06,7th Gen,5 to 12,Up to 10 ,Not Specified,96,1,0,92,97,833,105,50,8.4,988
119,Medal of Honor: Frontline,Shooter,PlayStation,PS2,Electronic Arts,EA Los Angeles,2002-05-28,T,6.83,2.93,2.75,0.17,0.99,6th Gen,1,1 Player,Not Online,27,2,0,88,29,46,8,1,8.4,55
120,Uncharted 2: Among Thieves,Action,PlayStation,PS3,Sony Computer Entertainment,Naughty Dog,2009-10-13,T,6.73,3.27,2.25,0.21,1.0,7th Gen,Not Specified,No Online Multiplayer,Not Online,105,0,0,96,105,881,64,36,8.9,981
121,Call of Duty 4: Modern Warfare,Shooter,PlayStation,PS3,Activision,Infinity Ward,2007-11-05,M,6.72,3.1,2.3,0.28,1.04,7th Gen,13 to 24,Up to 18 ,Not Specified,44,0,0,94,44,196,18,13,8.4,227
122,Call of Duty 4: Modern Warfare,Shooter,PlayStation,PS3,Activision,Infinity Ward,2007-11-05,M,6.72,3.1,2.3,0.28,1.04,7th Gen,13 to 24,Up to 18 ,Not Specified,44,0,0,94,44,196,18,13,8.4,227
123,FIFA Soccer 12,Sports,PlayStation,PS3,EA Sports,EA Canada,2011-09-27,E,6.65,0.84,4.33,0.11,1.37,7th Gen,,,,44,0,0,90,44,60,18,23,7.2,101
124,FIFA 14,Sports,PlayStation,PS3,EA Sports,EA Canada,2013-09-24,E,6.9,0.78,4.32,0.07,1.73,7th Gen,13 to 24,Up to 22 ,Not Specified,37,0,0,86,37,33,21,125,4.3,179
125,Red Dead Redemption,Action,PlayStation,PS3,Rockstar Games,Rockstar San Diego,2010-05-18,M,6.6,2.79,2.61,0.17,1.03,7th Gen,13 to 24,Up to 16 ,Not Specified,73,0,0,95,73,359,44,21,8.9,424
126,Red Dead Redemption,Action,PlayStation,PS3,Unknown,Rockstar San Diego,2010-05-18,M,6.6,2.79,2.61,0.17,1.03,7th Gen,13 to 24,Up to 16 ,Not Specified,73,0,0,95,73,359,44,21,8.9,424
127,Donkey Kong Country Returns,Platform,Nintendo,WII,Nintendo,Retro Studios,2010-11-21,E,6.53,,,,,7th Gen,Not Specified,No Online Multiplayer,Not Online,73,4,0,87,77,86,12,5,8.6,103
128,Assassin's Creed III,Action-Adventure,PlayStation,PS3,Ubisoft,Ubisoft Montreal,2012-10-30,M,6.5,2.64,2.56,0.16,1.14,7th Gen,5 to 12,Up to 8 ,Not Specified,36,5,0,85,41,169,124,80,6.9,373
129,Guild Wars,Role-Playing,PC,PC,NCSoft,ArenaNet,2005-04-26,T,0.03,0.02,0.0,0.0,0.0,PC,64+,64+ ,Not Specified,52,1,0,89,53,109,15,17,8.3,141
130,Red Dead Redemption,Action,Xbox,X360,Rockstar Games,Rockstar San Diego,2010-05-18,M,6.34,3.7,1.97,0.09,0.57,7th Gen,13 to 24,Up to 16 ,Not Specified,96,0,0,95,96,329,44,15,9.0,388
131,Red Dead Redemption,Action,Xbox,X360,Rockstar Games,Rockstar San Diego,2010-05-18,M,6.34,3.7,1.97,0.09,0.57,7th Gen,13 to 24,Up to 16 ,Not Specified,96,0,0,95,96,329,44,15,9.0,388
132,The Elder Scrolls V: Skyrim,Role-Playing,PlayStation,PS3,Bethesda Softworks,Bethesda Game Studios,2011-11-11,M,6.56,2.55,2.71,0.25,1.05,7th Gen,Not Specified,No Online Multiplayer,Not Online,15,1,0,92,16,463,97,479,6.6,1039
133,Final Fantasy XII,Role-Playing,PlayStation,PS2,Square Enix,Square Enix,2006-10-31,T,5.95,1.88,0.0,2.33,1.74,6th Gen,1,1 Player,Not Online,61,3,0,92,64,170,63,55,7.5,288
134,Tomodachi Life,Simulation,Nintendo,3DS,Nintendo,Nintendo,2014-06-06,E,5.15,0.96,2.02,1.89,0.28,8th Gen,Not Specified,No Online Multiplayer,Not Online,22,30,0,71,52,48,24,4,7.7,76
135,Halo 3: ODST,Shooter,Xbox,X360,Microsoft Game Studios,Bungie,2009-09-22,M,6.36,4.34,1.35,0.06,0.61,7th Gen,2 to 4,4  Online,Online,80,13,1,83,94,135,76,56,7.4,267
136,Halo 3: ODST,Shooter,Xbox,X360,Microsoft Game Studios,Bungie,2009-09-22,M,6.36,4.34,1.35,0.06,0.61,7th Gen,2 to 4,4  Online,Online,80,13,1,83,94,135,76,56,7.4,267
137,FIFA 15,Sports,PlayStation,PS4,EA Sports,EA Canada,2014-09-23,E,6.59,0.79,4.29,0.05,1.47,8th Gen,13 to 24,Up to 22 ,Not Specified,40,7,0,82,47,72,72,124,5.6,268
